"澳门路519弄2号楼(即北楼)地下一层,进防盗门直走到底右转(陕西北路1622号)",31.50595,121.282812
北青公路 叫头站金联分站旁空地,31.501733,121.334549
常德路1339号金昌大酒店,31.497375,121.324955
江宁路1306号地下一楼,31.492988,121.292044
江宁路861号2楼机房,31.492475,121.328439
莫干山路50号,31.488248,121.349833
墨玉南路西元村委东面,31.486771,121.360405
石门二路483号36楼顶联通机房,31.486,121.243442
西康路928号 创展大厦,31.483764,121.274813
叶家宅路100号事久大厦楼顶,31.48259,121.348661
宜昌路575号第二工业大学普陀分校517室,31.475425,121.356951
余姚路417号13楼顶机房,31.473557,121.331298
余姚路55号泛洋城市度假村楼顶机房,31.469563,121.384552
长安大厦1号楼(1号楼顶楼走到底),31.46933,121.246736
长寿路393号昆仑商城13楼顶(昆仑商城）机房位于13楼顶，乘电梯至12楼，走上13楼，到有蓝色顶棚的走廊走到底右手边白色防盗门）,31.468523,121.425585
真北路2188号上海惠量计量检测有限公司,31.467705,121.201637
嘉定城区澄浏公路宝嘉公路西北280米,31.463063,121.345403
嘉定区嘉定镇金沙路温宿路2号的楼顶,31.462643,121.331794
嘉定迎园路580号3楼楼顶，上海繁茂公司,31.460409,121.401649
嘉罗路1022号10楼1004室,31.459469,121.412299
嘉唐公路2035号内,31.459342,121.319364
嘉唐公路555号南面稻田,31.456615,121.221022
宝南路71号5楼顶,31.456258,121.413525
北翟路八字桥90号红双喜乒乓球厂,31.456227,121.359857
奉贤区南桥镇运河路530号汽车修理厂内,31.455174,121.413981
奉贤区柘林镇新塘村内,31.453478,121.256429
沪杭公路3079号，上海井上新材料有限公司北90米,31.452354,121.33861
嘉定朱家桥镇朱桥七组,31.450256,121.254671
江海路246号,31.447176,121.385936
金山区廊下中丰路（近廊平路）南550米、浙江平湖市现代农业园区（广陈镇龙萌村）东600米处农田,31.444231,121.225828
金山区朱泾镇民主村朱增路尽头，靠近A7高速,31.444014,121.25661
南星路371号靠近南亭公路江海菜场,31.441726,121.246593
上海奉贤南桥沪杭公路2278号底楼（近大亭公路口）上海美固坦体育设施有限公司,31.441487,121.179013
上海奉贤南桥环城东路1400号联运大厦6楼,31.43737,121.432451
上海奉贤南桥育秀泵站/育秀路227号,31.437104,121.31285
上海奉贤南桥运河路28号1F,31.436901,121.294601
